,SRS045739,SRS015217,SRS049896,SRS012849,SRS011529,SRS014459,SRS011134,SRS016517,SRS020233,SRS014313,SRS017821,SRS045645,SRS021948,SRS016095,SRS023176,SRS011452,SRS013476,SRS013639,SRS045713,SRS015854,SRS019787,SRS017191,SRS049900,SRS017521,SRS043667,SRS019910,SRS020869,SRS018984,SRS015133,SRS015190,SRS016267,SRS013158,SRS015065,SRS018133,SRS024388,SRS049959,SRS019030,SRS015264,SRS017247,SRS015960,SRS022713,SRS013098,SRS015431,SRS048164,SRS011405,SRS016989,SRS019161,SRS024075,SRS015782,SRS024009,SRS019601,SRS017307,SRS015794,SRS018351,SRS018427,SRS019267,SRS015578,SRS024132,SRS043001,SRS013638,SRS021153,SRS019068,SRS042284,SRS045528,SRS024265,SRS014923,SRS048870,SRS013521,SRS016203,SRS021484,SRS011239,SRS049164,SRS023583,SRS012273,SRS018575,SRS012902,SRS014287,SRS047044,SRS017916,SRS015369,SRS043411,SRS043701,SRS014235,SRS049712,SRS016438,SRS016753,SRS016495,SRS016335,SRS049402,SRS045004,SRS011084,SRS024663,SRS013687,SRS023971,SRS019685,SRS023829,SRS042628,SRS020622,SRS014613,SRS011302,SRS017701,SRS022524,SRS011586,SRS022137,SRS017103,SRS024435,SRS023914,SRS011271,SRS013951,SRS018656,SRS017433,SRS019582,SRS018817,SRS018313,SRS024331,SRS013800,SRS023346,SRS013215,SRS019968,SRS023526,SRS022071,SRS019397,SRS015663,SRS047014,SRS019381,SRS016585,SRS024549,SRS014979,SRS024625,SRS011061,SRS020328,SRS016018,SRS012969,SRS016954,SRS015890,SRS021219,SRS016437,SRS016056,SRS022609,SRS014683,SRS047210,SRS017209,SRS023352,SRS047219,SRS018300,SRS023617,SRS013234,SRS011306,SRS015057,SRS078182,SRS019327,SRS018969,SRS015174,SRS014271,SRS021496,SRS063932,SRS062761,SRS019045,SRS053854,SRS011140,SRS013502,SRS055495,SRS013164,SRS062544,SRS023958,SRS053603,SRS016002,SRS044486,SRS056622,SRS012279,SRS015272,SRS063193,SRS017713,SRS018739,SRS022621,SRS015209,SRS013879,SRS045715,SRS016037,SRS023835,SRS019974,SRS014888,SRS017007,SRS014573,SRS024318,SRS057539,SRS050244,SRS018439,SRS015893,SRS052227,SRS016342,SRS013705,SRS019071,SRS054687,SRS015644,SRS011086,SRS024081,SRS017439,SRS016740,SRS065278,SRS016501,SRS042131,SRS015537,SRS042910,SRS055426,SRS022530,SRS057692,SRS024375,SRS019607,SRS023557,SRS020334,SRS018357,SRS044662,SRS024637,SRS014470,SRS047824,SRS042643,SRS015941,SRS043663,SRS049389,SRS018791,SRS016319,SRS024580,SRS017808,SRS015038,SRS011243,SRS023926,SRS077736,SRS019894,SRS019219,SRS063288,SRS017120,SRS016225,SRS015434,SRS017076,SRS017533,SRS022143,SRS064774,SRS021954,SRS048411,SRS013818,SRS014124,SRS064423,SRS014684,SRS057205,SRS057791,SRS075404,SRS015797,SRS062540,SRS024138,SRS019022,SRS024015,SRS022077,SRS011115,SRS018591,SRS051791,SRS024441,SRS056323,SRS020220,SRS018145,SRS015762,SRS024277,SRS045127,SRS049147,SRS050669,SRS019122,SRS044373,SRS057355,SRS016569,SRS016086,SRS020856,SRS015395,SRS058336,SRS048791,SRS019389,SRS022719,SRS016529
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus_opacus;t__Rhodococcus_opacus_B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus_pyridinivorans;t__Rhodococcus_pyridinivorans_SB3094,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,198,7,106,355,79,59,37,66,146,190,68,166,154,146,39,1,88,152,133,46,49,3,19,290,40,91,146,151,213,205,114,60,42,106,69,104,97,7,60,113,87,226,74,101,45,228,148,47,258,24,33,189,108,208,26,103,60,87,36,216,13,84,31,151,35,,29,106,129,40,91,65,1,97,159,171,83,59,93,61,201,234,76,104,104,6,51,27,195,128,1,109,50,238,38,139,126,95,205,318,17,148,137,216,114,106,352,67,6,118,184,201,192,187,118,32,163,323,126,60,124,39,13,108,97,54,90,44,255,65,51,67,81,162,43,2,35
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Segniliparaceae;g__Segniliparus;s__Segniliparus_rotundus;t__Segniliparus_rotundus_DSM_44985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Tsukamurellaceae;g__Tsukamurella;s__Tsukamurella_paurometabola;t__Tsukamurella_paurometabola_DSM_20162,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,2,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,1,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Frankia;s__Frankia_alni;t__Frankia_alni_ACN14a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Frankia;s__Frankia_sp._EAN1pec;t__Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Frankia;s__Frankia_sp._EuI1c;t__Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Frankia;s__Frankia_symbiont_of_Datisca_glomerata;t__Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,3,,,2,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;s__Blastococcus_saxobsidens;t__Blastococcus_saxobsidens_DD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Geodermatophilus;s__Geodermatophilus_obscurus;t__Geodermatophilus_obscurus_DSM_43160,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,6,7,29,15,12,4,8,10,24,10,17,20,7,4,,10,16,10,14,7,,10,12,8,8,24,23,52,35,17,13,,16,13,2,12,2,8,5,6,22,11,14,7,11,9,2,31,4,1,21,14,30,2,18,4,17,1,19,5,8,1,38,9,,2,12,19,2,10,12,,21,10,25,9,6,2,4,22,24,7,12,10,,7,11,10,15,,11,2,25,12,24,27,12,21,25,4,17,20,9,19,8,25,7,1,20,26,35,29,31,16,3,26,42,28,17,14,3,2,5,10,9,3,2,36,5,12,7,15,14,5,,10
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Modestobacter;s__Modestobacter_marinus;t__Unknown,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,1,,1,2,1,,,,,1,,,,,,,2,,,,,,,1,1,,,,1,4,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,,1,,,1,,1,1,,,1,1,,,,,1,,1,,3,,,,,,,,,,,1,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Glycomycetales;f__Glycomycetaceae;g__Stackebrandtia;s__Stackebrandtia_nassauensis;t__Stackebrandtia_nassauensis_DSM_44728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,4,,,,,1,2,,,,,,,,2,,1,,,,9,,,1,1,,,,,,,1,1,,,,,2,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,1,2,,,,,,,,5,,,,,,,,3,7,,,,,2,,1,,,,,,,,4,,,,,1,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineococcus;s__Kineococcus_radiotolerans;t__Kineococcus_radiotolerans_SRS30216_=_ATCC_BAA-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,70,15,32,37,10,11,29,63,20,21,23,18,12,10,7,26,27,1,19,,2,24,,19,32,14,37,28,16,6,21,36,4,55,1,4,7,38,19,16,9,22,31,79,57,10,37,2,1,47,32,48,2,37,17,29,9,70,3,26,,41,9,,2,3,41,26,65,11,,33,17,75,17,21,6,11,74,83,21,38,28,,65,1,53,28,,46,8,62,9,35,52,12,123,41,1,16,39,17,,39,197,2,1,9,36,40,20,45,25,20,30,111,40,6,9,14,,21,3,24,5,10,52,17,21,5,23,51,9,,1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Unknown;g__Tropheryma;s__Tropheryma_whipplei;t__Tropheryma_whipplei_TW08/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Unknown;g__Tropheryma;s__Tropheryma_whipplei;t__Tropheryma_whipplei_str._Twist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Beutenbergiaceae;g__Beutenbergia;s__Beutenbergia_cavernae;t__Beutenbergia_cavernae_DSM_12333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,13,25,3,3,4,1,6,8,2,15,22,16,1,,2,8,6,,6,,,17,,13,3,5,21,3,5,,9,4,2,23,,5,,12,5,4,,2,5,18,13,1,9,1,,9,5,14,,8,9,3,3,35,,,,8,,,1,1,12,3,22,3,,6,7,3,7,4,2,,4,27,5,10,13,,4,1,32,7,,18,2,9,4,21,15,4,19,23,,2,21,3,,9,81,,,,10,13,3,6,2,1,4,29,15,2,1,2,1,11,,3,2,1,2,1,2,2,4,15,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas_fimi;t__Cellulomonas_fimi_ATCC_484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,4,,1,2,,,2,2,,1,2,,,1,2,5,3,1,,,,1,,,8,1,,1,1,2,1,,,,,,1,1,1,,,,1,1,,2,1,,1,,1,,,,4,,1,2,2,,5,5,,,5,1,3,1,2,,3,,,,2,4,3,6,1,,2,,,,3,3,,,1,,,,7,3,,19,3,,3,,,,1,3,,1,,2,5,12,,,,2,4,,,,1,,6,1,2,1,,7,13,1,4,,,,,2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas_flavigena;t__Cellulomonas_flavigena_DSM_20109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,7,10,15,6,1,3,10,11,5,7,9,11,4,3,1,13,2,5,3,,,3,1,3,11,4,2,15,8,3,,4,1,,3,,6,6,,10,7,15,1,,13,3,28,1,,16,1,5,2,11,,3,,14,,9,,7,2,,,1,5,2,1,4,,13,15,15,5,2,,6,1,30,1,2,6,,4,,7,11,,4,2,4,5,13,11,1,6,11,,6,8,4,11,4,8,1,,1,30,12,6,21,2,,3,7,5,,5,1,1,,4,,2,7,32,2,2,,6,5,3,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas_gilvus;t__Cellulomonas_gilvus_ATCC_13127,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,3,,,,,,,,,,,,1,2,,,8,,5,,,2,,,,,,,1,,,,,1,,,2,1,,,1,1,,,1,,,12,,,,,,,,,,,3,1,,1,,,,,,,,,,,1,,,,18,,,,,,,,,,2,4,,4,6,,1,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,1,2,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium_faecium;t__Brachybacterium_faecium_DSM_4810,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,1,,,,161,7,86,181,56,53,39,28,63,170,31,125,76,77,24,13,45,118,121,49,39,3,12,129,27,61,77,121,185,148,68,39,71,80,41,55,61,10,39,121,73,153,56,62,55,148,99,21,160,30,11,123,62,165,24,113,32,52,16,165,30,66,34,155,44,1,18,70,71,26,130,43,1,60,92,111,36,45,53,41,110,147,59,82,70,,48,48,133,88,,92,24,135,45,167,153,47,211,217,25,102,89,113,79,79,292,36,5,55,184,129,153,115,78,34,112,270,127,42,37,27,5,131,59,35,60,29,212,53,34,60,57,131,31,7,22
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;g__Kytococcus;s__Kytococcus_sedentarius;t__Kytococcus_sedentarius_DSM_20547,,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,23,3,5,7,4,7,18,10,7,20,7,14,20,8,4,32,11,42,34,21,18,,3,6,12,5,19,13,91,23,11,10,19,9,8,4,17,,13,5,19,55,9,5,10,32,7,5,18,11,1,15,13,45,25,3,5,10,1,10,6,21,8,61,3,,8,38,25,6,4,9,,11,9,20,6,8,16,4,30,20,11,7,2,3,8,31,20,8,,20,9,31,2,16,20,8,52,4,9,44,7,10,4,3,31,9,5,21,48,6,40,22,15,5,17,46,34,10,8,9,1,29,15,5,8,3,32,20,12,24,13,11,7,,3
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Intrasporangium;s__Intrasporangium_calvum;t__Intrasporangium_calvum_DSM_43043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Jonesiaceae;g__Jonesia;s__Jonesia_denitrificans;t__Jonesia_denitrificans_DSM_20603,,,1,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,30,298,485,148,160,80,96,216,438,95,280,249,259,52,13,111,286,246,97,112,3,44,329,66,177,272,256,463,384,176,106,139,256,96,205,130,23,126,242,159,323,162,190,129,378,293,69,414,90,28,264,199,378,58,254,69,150,55,334,29,208,51,345,62,,63,164,247,79,282,115,3,195,256,360,142,137,116,89,348,531,125,199,165,12,175,88,364,228,1,206,79,383,85,310,373,106,562,507,42,260,235,281,172,181,813,118,14,133,404,367,346,326,198,79,230,730,290,111,155,88,34,313,122,117,133,79,563,98,100,142,195,324,76,8,51
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter_michiganensis;t__Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter_michiganensis;t__Clavibacter_michiganensis_subsp._nebraskensis_NCPPB_2581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter_michiganensis;t__Clavibacter_michiganensis_subsp._sepedonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,17,,5,22,,4,3,2,2,9,,14,7,8,1,,1,13,6,3,,,,13,,6,2,5,5,10,11,3,3,5,1,4,2,,1,9,6,15,,,4,6,3,,28,2,,3,2,17,1,6,1,6,2,18,,2,,1,1,,1,,3,1,7,1,,6,2,7,1,,2,1,,17,7,,2,,,2,18,7,,2,,3,2,11,13,6,20,17,1,3,12,3,,13,48,,,,21,15,19,2,9,1,5,34,13,1,,1,,15,,,6,,1,5,,2,6,6,9,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leifsonia;s__Leifsonia_xyli;t__Leifsonia_xyli_subsp._cynodontis_DSM_46306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,7,,,,,,,,,,21,,,,,2,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,12,,,,,,,,,4,5,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,9,1,,,,,,,1,,,,,,,,,,,4,,,,,,,10
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leifsonia;s__Leifsonia_xyli;t__Leifsonia_xyli_subsp._xyli_str._CTCB07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,5,1,1,,1,5,4,2,,,1,,4,,,7,,,,2,,1,,,1,1,,,1,,,1,,2,,,1,2,3,,,,3,2,,,1,,6,6,5,,2,,,1,,,,1,2,,,,9,3,,,3,,,7,9,,,,1,9,3,,,,,1,,1,1,,,1,11,,2,9,1,6,2,,,1,,8,1,4,1,,,,,,,4,,,1,8,6,3,,,4,1,,,,2,1,,,3,1,1,,
